Date,Sales,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30,DayOfWeek,DayOfMonth,WeekOfYear,DayOfYear,Year,DoW_sin,DoW_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,Days_Since_Start,Trend,is_black_friday,is_christmas,is_new_year,is_holiday,lag_7_14_avg,lag_7_21_avg
2013-12-14,87785,42,310,28.01,,310.0,6,1,12,4,348,0,0,0,0,0,0,147.0,190.0,265.0,135.28571428571428,38.55608160292445,152.74066666666664,5,14,50,348,2013,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.2884824328806098,0.9574851883550389,65801.0,50441.0,56731.0,65983.0,66385.0,43213.0,72654.0,60428.57142857143,13040.307305391463,57884.5,9926.611736988454,55974.333333333336,14909.762590522645,48645.916666666664,16028.81209349374,531,0.7436974789915967,0,0,0,0,66184.0,69834.5
2013-12-15,73417,15,227,24.18,,227.0,7,1,12,4,349,0,0,0,0,0,0,310.0,181.0,189.0,152.42857142857142,75.71185979941099,160.44066666666666,6,15,50,349,2013,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.27195815753410524,0.9623090774541487,87785.0,65801.0,50441.0,54231.0,53559.0,37981.0,81759.0,63169.42857142857,13527.755342962342,59302.92857142857,10653.170416245859,57155.53333333333,14838.62523545097,49350.13333333333,16175.247936660182,532,0.7450980392156863,0,0,0,0,53895.0,52823.5
2013-12-16,45817,13,140,19.97,,140.0,1,0,12,4,350,0,0,0,0,0,0,227.0,94.0,90.0,159.0,80.45288476286369,164.60733333333332,0,16,51,350,2013,0.0,1.0,-2.4492935982947064e-16,1.0,-0.2553532951161881,0.9668478136052773,73417.0,87785.0,65801.0,51918.0,56760.0,48566.0,81381.0,62297.857142857145,14532.696829661576,58521.28571428572,11239.425063509054,57063.9,14901.850756036105,49517.683333333334,16083.940687858963,533,0.7464985994397759,0,0,0,0,54339.0,50389.0
2013-12-17,53096,15,140,17.14,,140.0,2,0,12,4,351,0,0,0,0,0,0,140.0,98.0,67.0,165.57142857142858,76.01503610658666,163.00733333333332,1,17,51,351,2013,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.23867276600594997,0.9711000518829505,45817.0,73417.0,87785.0,56093.0,54799.0,48310.0,77255.0,61869.71428571428,14787.869135593102,58399.642857142855,11291.902957477658,57223.433333333334,14830.350359019365,49826.71666666667,15969.280982181172,534,0.7478991596638656,0,0,0,0,55446.0,45886.5
2013-12-18,56767,13,189,19.01,,189.0,3,0,12,4,352,0,0,0,0,0,0,140.0,114.0,101.0,171.57142857142858,71.30417739716012,163.00733333333332,2,18,51,352,2013,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.22192151300416674,0.9750645322571945,53096.0,45817.0,73417.0,56731.0,48549.0,39161.0,64461.0,61874.857142857145,14785.790277927508,58986.642857142855,10948.826186520224,57810.3,14433.992350793322,50186.86666666667,15876.254506915719,535,0.7492997198879552,0,0,0,0,52640.0,61000.5
2013-12-19,49462,24,169,18.68,,169.0,4,0,12,4,353,0,0,0,0,0,0,189.0,123.0,90.0,182.28571428571428,66.69761186557882,166.67399999999998,3,19,51,353,2013,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.20510449986861926,0.9787400799669153,56767.0,53096.0,45817.0,50441.0,54524.0,37061.0,74585.0,61735.0,14916.023699364334,58625.07142857143,11188.49580502735,58223.666666666664,13990.019130236004,50490.316666666666,15681.06756298728,536,0.7507002801120448,0,0,0,0,52482.5,61600.0
2013-12-20,49069,18,238,19.09,,238.0,5,0,12,4,354,0,0,0,0,0,0,169.0,147.0,125.0,188.8571428571429,61.982332352126775,170.04066666666665,4,20,51,354,2013,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.1882267098432439,0.9821256058680006,49462.0,56767.0,53096.0,65801.0,53209.0,50561.0,76553.0,59344.71428571428,15485.625148443107,58329.357142857145,11395.45156635281,58173.933333333334,14020.816644358281,50827.2,15423.416038553365,537,0.7521008403361344,0,0,0,0,59505.0,85451.5
2013-12-21,63129,25,344,23.8,,344.0,6,1,12,4,355,0,0,0,0,0,0,238.0,310.0,190.0,201.8571428571429,61.27922043517561,175.64066666666665,5,21,51,355,2013,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.1712931441814778,0.9852201067560606,49069.0,49462.0,56767.0,87785.0,65983.0,39843.0,68743.0,55822.42857142857,9638.922897245611,58125.5,11272.869498524458,58950.13333333333,13609.543630984828,51337.46666666667,15313.296544724351,538,0.7535014005602241,0,0,0,0,76884.0,77085.0
2013-12-22,64142,25,357,21.94,,357.0,7,1,12,4,356,0,0,0,0,0,0,344.0,227.0,181.0,206.7142857142857,71.7349619216791,184.3073333333333,6,22,51,356,2013,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.154308820664281,0.9880226656636976,63129.0,49069.0,49462.0,73417.0,54231.0,48206.0,88382.0,54497.42857142857,7127.528296614869,58833.42857142857,11320.585366179645,59481.333333333336,13486.167284406274,51744.0,15324.233905147139,539,0.7549019607843137,0,0,0,0,63824.0,63488.0
2013-12-23,59857,14,319,19.43,,319.0,1,0,12,4,357,0,0,0,0,0,0,357.0,140.0,94.0,225.28571428571428,91.86532585931484,192.6073333333333,0,23,52,357,2013,0.0,1.0,-2.4492935982947064e-16,1.0,-0.13727877211326517,0.9905324521322227,64142.0,63129.0,49069.0,45817.0,51918.0,73686.0,79196.0,56503.142857142855,6191.726938115782,59400.5,11145.009422986375,59020.36666666667,13217.567196162048,52105.4,15254.290128642946,540,0.7563025210084033,0,0,0,0,48867.5,51288.5
2013-12-24,54615,15,158,21.95,,158.0,2,0,12,4,358,0,0,0,0,0,0,319.0,140.0,98.0,250.8571428571429,89.03824753334685,195.574,1,24,52,358,2013,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,-0.12020804489935275,0.9927487224577402,59857.0,64142.0,63129.0,53096.0,56093.0,51416.0,71162.0,56720.142857142855,6077.989427120506,59294.92857142857,11185.675850178579,59127.0,13166.910115892855,52420.25,15104.66796590278,541,0.757703081232493,0,1,0,1,54594.5,53947.5
2013-12-25,0,0,0,0.0,,0.0,3,0,12,4,359,0,0,0,0,0,0,158.0,189.0,114.0,253.42857142857144,85.49241124773827,195.5073333333333,2,25,52,359,2013,0.9749279121818236,-0.22252093395631434,-2.4492935982947064e-16,1.0,-0.10310169744743544,0.9946708199115211,54615.0,59857.0,64142.0,56767.0,56731.0,48860.0,0.0,48610.57142857143,22280.290623905967,55242.71428571428,19426.35032601352,57498.333333333336,16957.016983788963,51774.083333333336,16466.406516578205,542,0.7591036414565826,0,1,0,1,56749.0,52658.0
2013-12-26,50458,26,319,17.21,,319.0,4,0,12,4,360,0,0,0,0,0,0,0.0,169.0,123.0,226.42857142857144,128.33920827616316,192.574,3,26,52,360,2013,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0,-0.0859647987374467,0.9962981749346077,0.0,54615.0,59857.0,49462.0,50441.0,35680.0,74881.0,48752.857142857145,22289.81249680793,55243.92857142857,19426.02762538426,57990.933333333334,16510.100676259714,52079.2,16265.014432876935,543,0.7605042016806722,0,1,0,1,49951.5,51993.0
2013-12-27,52986,25,208,20.05,,208.0,5,0,12,4,361,0,0,0,0,0,0,319.0,238.0,147.0,247.8571428571429,129.66807442007283,200.374,4,27,52,361,2013,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,-0.06880242680232064,0.9976303053065857,50458.0,0.0,54615.0,49069.0,65801.0,65270.0,63853.0,49312.42857142857,22348.162332036285,54328.57142857143,19190.809746471605,57581.46666666667,16475.63924087329,52400.25,16085.67042972499,544,0.7619047619047619,0,1,0,1,57435.0,51139.0
2013-12-28,53680,22,272,17.33,,272.0,6,1,12,4,362,0,0,0,0,0,0,208.0,344.0,310.0,243.57142857142856,130.5409988507534,201.474,5,28,52,362,2013,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0,-0.05161966722325418,0.9986668162884759,52986.0,50458.0,0.0,63129.0,87785.0,72759.0,74461.0,47962.57142857143,21648.962221910595,51892.5,16608.012754506228,56945.5,16236.064878577592,52730.48333333333,15901.047237116358,545,0.7633053221288515,0,1,0,1,75457.0,64556.0
2013-12-29,58826,13,217,22.11,,217.0,7,1,12,4,363,0,0,0,0,0,0,272.0,357.0,227.0,233.28571428571428,123.98079728424926,197.44066666666663,6,29,52,363,2013,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0,-0.034421611622745804,0.9994074007397048,53680.0,52986.0,50458.0,64142.0,73417.0,105102.0,76098.0,47203.142857142855,21072.36911557063,50850.28571428572,15579.329285595275,55402.96666666667,13464.883823418691,53262.96666666667,15551.715423355705,546,0.7647058823529411,0,1,0,1,68779.5,59186.5
2013-12-30,47531,16,259,15.68,,259.0,1,0,12,4,364,0,0,0,0,0,0,217.0,319.0,140.0,213.28571428571428,111.34587896237902,182.7,0,30,1,364,2013,0.0,1.0,-2.4492935982947064e-16,1.0,-0.01721335615583528,0.9998518392091162,58826.0,53680.0,52986.0,59857.0,45817.0,66385.0,48917.0,45442.28571428572,20341.056615576606,50972.71428571428,15543.42641875209,54774.5,13374.323685769143,53516.816666666666,15326.41366000813,547,0.7661064425770309,0,1,0,1,52837.0,55887.5
2013-12-31,45472,15,203,17.24,,203.0,2,0,12,4,365,0,0,0,0,0,0,259.0,158.0,140.0,204.7142857142857,103.91296724617555,182.5,1,31,1,365,2013,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,47531.0,58826.0,53680.0,54615.0,53096.0,53559.0,62693.0,44136.142857142855,19943.552161275617,50428.142857142855,15596.777442580962,54504.933333333334,13480.743057217358,53555.65,15302.614243064289,548,0.7675070028011205,0,1,0,1,53855.5,55354.0
2014-01-01,42355,10,119,19.84,,119.0,3,0,1,1,1,0,0,0,0,0,0,203.0,0.0,189.0,211.14285714285717,101.91406277092572,182.96666666666667,2,1,1,1,2014,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,45472.0,47531.0,58826.0,0.0,56767.0,56760.0,48973.0,50186.857142857145,5558.282061589555,49398.71428571428,15621.807900045693,54024.76666666667,13653.092767431608,53421.46666666667,15365.868026870763,549,0.7689075630252101,0,0,1,1,28383.5,28365.5
2014-01-02,38449,18,132,17.68,,132.0,4,0,1,1,2,0,0,0,0,0,0,119.0,319.0,169.0,228.14285714285717,63.51490263822237,183.9333333333333,3,2,1,2,2014,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0.03442161162274574,0.9994074007397048,42355.0,45472.0,47531.0,50458.0,49462.0,54799.0,47743.0,48471.28571428572,7100.09942921644,48612.07142857143,15893.29904013377,53479.76666666667,13944.342124621982,53278.8,15465.827785086909,550,0.7703081232492998,0,0,0,0,49960.0,50449.5
2014-01-03,49785,17,135,12.97,,135.0,5,0,1,1,3,0,0,0,0,0,0,132.0,208.0,238.0,201.42857142857144,58.0197010875246,186.1,4,3,1,3,2014,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0.051619667223253764,0.998666816288476,38449.0,42355.0,45472.0,52986.0,49069.0,48549.0,58291.0,48014.0,6859.8821661403945,48663.21428571428,15896.034257147025,53520.96666666667,13931.090952857316,53449.933333333334,15367.465202213509,551,0.7717086834733894,0,0,0,0,51027.5,59393.5
2014-01-04,48343,16,165,20.71,,165.0,6,1,1,1,4,0,0,0,0,0,0,135.0,272.0,344.0,191.0,62.98941710054671,187.2333333333333,5,4,1,4,2014,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0.06880242680231986,0.9976303053065857,49785.0,38449.0,42355.0,53680.0,63129.0,54524.0,60871.0,47251.57142857143,6406.812828469808,47607.07142857143,15342.54571928492,53314.933333333334,13961.418920412987,53652.85,15215.026724634961,552,0.773109243697479,0,0,0,0,58404.5,70732.5
2014-01-05,37970,15,103,18.52,,103.0,7,1,1,1,5,0,0,0,0,0,0,165.0,217.0,357.0,175.71428571428572,52.09835021608709,189.7333333333333,6,5,1,5,2014,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,48343.0,49785.0,38449.0,58826.0,64142.0,53209.0,51324.0,44272.142857142855,4766.632509034875,45737.642857142855,14756.122112049328,52806.96666666667,14239.854443956188,53676.683333333334,15188.863741092695,553,0.7745098039215687,0,0,0,0,61484.0,66121.5
