Date,Sales,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30,DayOfWeek,DayOfMonth,WeekOfYear,DayOfYear,Year,DoW_sin,DoW_cos,Month_sin,Month_cos,DayOfYear_sin,DayOfYear_cos,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_mean_60,rolling_std_60,Days_Since_Start,Trend,is_black_friday,is_christmas,is_new_year,is_holiday,lag_7_14_avg,lag_7_21_avg
2012-10-31,83138,23,153,6.62,,153.0,3,0,10,4,305,0,0,0,0,0,0,124.0,158.0,123.0,162.14285714285714,42.71388755985909,235.489,2,31,44,305,2012,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,-0.858763958275803,0.5123714121284235,68049.0,67921.0,74692.0,60454.0,53068.0,44538.0,,71601.71428571429,5622.60025001134,69792.42857142857,10460.802342476027,69350.56666666667,22650.408241252568,64059.63333333333,18950.3205875719,122,0.17086834733893558,0,0,0,0,56761.0,55100.0
2012-11-01,70912,29,149,10.95,,149.0,4,0,11,4,306,0,0,0,0,0,0,153.0,149.0,145.0,161.42857142857142,42.8363441595157,237.189,3,1,44,306,2012,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.8498170915275277,0.5270777086423724,83138.0,68049.0,67921.0,68056.0,61053.0,55900.0,,72009.71428571429,5422.48665940522,70496.64285714286,10154.582115457077,69850.96666666666,22508.387047534285,64177.433333333334,18970.914487367383,123,0.1722689075630252,0,0,0,0,64554.5,62431.0
2012-11-02,49629,61,230,5.8,,230.0,5,0,11,4,307,0,0,0,0,0,0,149.0,192.0,204.0,161.42857142857142,42.8363441595157,238.05566666666667,4,2,44,307,2012,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.8406184056344783,0.5416278206559811,70912.0,83138.0,68049.0,70350.0,75176.0,58416.0,,69049.57142857143,10109.605743337044,68671.85714285714,11460.45484301524,69558.06666666667,22718.512045941945,63944.85,19063.63084632398,124,0.17366946778711484,0,0,0,0,72763.0,65312.5
2012-11-03,82309,38,325,6.78,,325.0,6,1,11,4,308,0,0,0,0,0,0,230.0,235.0,383.0,166.85714285714286,49.27957173592609,241.9223333333333,5,3,44,308,2012,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.8311706263658079,0.5560174366570446,49629.0,70912.0,83138.0,69006.0,92254.0,52914.0,,70950.0,11282.389788220064,67961.5,10115.623975962986,70537.9,22609.543333474823,64490.566666666666,19113.63056038465,125,0.17507002801120447,0,0,0,0,80630.0,70310.5
2012-11-04,65587,32,244,10.32,,244.0,7,1,11,4,309,0,0,0,0,0,0,325.0,170.0,234.0,179.71428571428572,75.03269128789704,247.689,6,4,44,309,2012,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.8214765533024145,0.5702422926917867,82309.0,49629.0,70912.0,74692.0,77484.0,64401.0,,69649.28571428571,11303.908744534387,67111.71428571429,9747.135172240834,70577.43333333333,22599.47743168097,64594.083333333336,19102.276885577718,126,0.17647058823529413,0,0,0,0,76088.0,66621.5
2012-11-05,68065,15,115,9.13,,115.0,1,0,11,4,310,0,0,0,0,0,0,244.0,107.0,115.0,190.28571428571428,78.5657140779076,249.62233333333333,0,5,45,310,2012,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.8115390590073611,0.5842981736283683,65587.0,82309.0,49629.0,67921.0,54736.0,171665.0,,69669.85714285714,11300.369793780625,68063.78571428571,9072.980437952723,67124.1,12093.323719137847,64838.55,19050.338624531636,127,0.17787114845938376,0,0,0,0,61328.5,58210.0
2012-11-06,63822,27,115,10.18,,115.0,2,0,11,4,311,0,0,0,0,0,0,115.0,124.0,141.0,191.42857142857144,77.19856894800024,212.6,1,6,45,311,2012,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.801361088174677,0.5981809144059158,68065.0,65587.0,82309.0,68049.0,54725.0,97231.0,,69066.0,11512.369405701522,68713.57142857143,8340.379549694802,66010.46666666666,10681.080501113374,65124.25,18901.354837660514,128,0.1792717086834734,0,0,0,0,61387.0,65641.0
2012-11-07,69768,25,132,11.23,,132.0,3,0,11,4,312,0,0,0,0,0,0,115.0,153.0,158.0,190.14285714285717,78.57147186146057,189.83333333333331,2,7,45,312,2012,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.7909456567567774,0.6118864012687242,63822.0,68065.0,65587.0,83138.0,60454.0,78493.0,,67156.0,9765.097848972076,69378.85714285714,7995.1905337102435,65719.63333333333,10445.667039275293,65179.95,18910.178130564,129,0.18067226890756302,0,0,0,0,71796.0,68103.0
2012-11-08,68089,40,153,6.94,,153.0,4,0,11,4,313,0,0,0,0,0,0,132.0,149.0,149.0,187.14285714285717,80.6007207813695,177.66666666666666,3,8,45,313,2012,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,-0.780295851070776,0.6254105729852457,69768.0,63822.0,68065.0,70912.0,68056.0,62610.0,,66752.71428571429,9641.6396723497,69381.21428571429,7994.775382216071,65902.26666666666,10437.317444807268,65332.75,18895.781353792678,130,0.18207282913165265,0,0,0,0,69484.0,65982.5
2012-11-09,68943,53,222,8.8,,222.0,5,0,11,4,314,0,0,0,0,0,1,153.0,230.0,192.0,187.7142857142857,80.29884657891955,179.36666666666667,4,9,45,314,2012,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,-0.7694148268839381,0.6387494220515268,68089.0,69768.0,63822.0,49629.0,70350.0,49746.0,,69511.85714285714,6000.735633474965,69280.71428571429,7990.502616602681,66542.16666666667,9991.595113008674,65166.36666666667,18817.850829182873,131,0.18347338935574228,0,0,0,0,59989.5,62402.5
2012-11-10,165555,128,1321,10.82,,1225.67,6,1,11,4,315,0,0,0,0,1,1,222.0,325.0,235.0,186.57142857142856,79.65102456519823,183.2333333333333,5,10,45,315,2012,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,68943.0,68089.0,69768.0,82309.0,69006.0,56806.0,,81404.14285714286,37163.12279858699,76177.07142857143,26937.03763183919,70167.13333333333,20518.842423377646,66139.15,22226.82021283586,132,0.18487394957983194,0,0,0,0,75657.5,87281.5
2012-11-11,106754,145,1010,8.38,,1010.0,7,1,11,4,316,0,0,0,1,1,1,1225.67,244.0,170.0,315.23857142857145,404.7102771295607,219.12233333333333,6,11,45,316,2012,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,-0.7469720876965551,0.6648553979642866,165555.0,68943.0,68089.0,65587.0,74692.0,60275.0,,87285.14285714286,37498.70286391504,78467.21428571429,28137.25769311947,71716.43333333333,21478.45635415802,66923.8,22817.88658256753,133,0.18627450980392157,0,0,0,0,70139.5,71535.5
2012-11-12,144189,67,890,9.69,,890.0,1,0,11,4,317,0,0,1,0,1,1,1010.0,115.0,107.0,424.6671428571429,478.9813276358586,244.989,0,12,46,317,2012,0.0,1.0,-0.5000000000000004,0.8660254037844384,-0.7354170229639858,0.6776147890466887,106754.0,165555.0,68943.0,68065.0,67921.0,71615.0,,98160.0,41788.582451829265,83914.92857142857,32915.75812110079,74135.56666666667,25226.624537665906,68464.73333333334,24809.574126422718,134,0.1876750700280112,0,0,0,0,67993.0,61400.5
2012-11-13,56477,30,133,6.86,,133.0,2,0,11,4,318,0,0,0,1,0,1,890.0,115.0,124.0,535.3814285714286,485.0044725714248,264.0556666666667,1,13,46,318,2012,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,-0.7236440382959124,0.690173388242972,144189.0,106754.0,165555.0,63822.0,68049.0,58551.0,,97110.71428571429,42872.6427562468,83088.35714285714,33485.197504861164,74066.43333333333,25273.604779094825,68506.56666666667,24786.81976467187,135,0.18907563025210083,0,0,0,0,65935.5,59273.5
2012-11-14,67196,43,141,8.45,,141.0,3,0,11,4,319,0,0,0,0,0,0,133.0,132.0,153.0,537.9528571428572,482.4451632643269,260.9556666666667,2,14,46,319,2012,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,-0.711656622281775,0.7025274741691566,56477.0,144189.0,106754.0,69768.0,83138.0,48499.0,,96743.28571428571,43156.11594631088,81949.64285714286,33753.37139082928,74689.66666666667,24848.336148187733,68420.2,24782.129169960568,136,0.19047619047619047,0,0,0,0,76453.0,65111.0
