start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-31,2013-08-06,2564.0,9222,5670.0,"[11, 6, 6, 0, 11, 0, 9]","[0, 5, 7, 16, 0, 8, 0]","[0.0, 0.0, 0.0, 0.3, 0.040672839863228685, 0.0, 0.0]","[64, 75, 72, 95, 85, 57, 53]","[60.48849105834961, 70.55084991455078, 84.98821258544922, 111.84741973876953, 66.7446517944336, 59.63063049316406, 55.732303619384766]"
2013-08-01,2013-08-07,2284.0,7578,4915.0,"[10, 7, 19, 11, 10, 0, 0]","[2, 6, 0, 0, 0, 0, 9]","[0.0, 0.004998799027845474, 0.0, 0.0, 0.0, 0.0, 0.0]","[75, 72, 95, 85, 57, 53, 57]","[71.54590606689453, 84.11601257324219, 108.31397247314453, 68.28235626220703, 58.85536575317383, 55.629764556884766, 61.93795394897461]"
2013-08-02,2013-08-08,2332.0,8997,5555.0,"[14, 11, 11, 0, 0, 0, 10]","[0, 6, 0, 9, 8, 9, 0]","[0.0, 0.0, 0.0, 0.03489359897361998, 0.3, 0.3, 0.0]","[72, 95, 85, 57, 53, 57, 64]","[83.8131103515625, 108.75433349609375, 66.60856628417969, 60.65179443359375, 56.006011962890625, 64.11725616455078, 60.32068634033203]"
2013-08-03,2013-08-09,2681.0,8856,5460.0,"[17, 3, 9, 10, 11, 0, 0]","[0, 7, 0, 0, 0, 9, 11]","[0.0, 0.035947952391798384, 0.3, 0.0, 0.037769278914457784, 0.02472270913217226, 0.04009189861159481]","[95, 85, 57, 53, 57, 64, 74]","[102.56155395507812, 67.9486083984375, 60.531829833984375, 58.74916458129883, 67.50297546386719, 64.25887298583984, 79.61748504638672]"
2013-08-04,2013-08-10,2034.0,7827,4770.0,"[0, 0, 9, 11, 0, 9, 16]","[0, 9, 0, 0, 9, 3, 1]","[0.29597751696113855, 0.0, 0.3, 0.03614424564807273, 0.21321037022767284, 0.0, 0.00031776712243856866]","[85, 57, 53, 57, 64, 74, 96]","[63.91131591796875, 59.97620391845703, 57.00804901123047, 65.34345245361328, 63.5655403137207, 75.85726165771484, 105.79705810546875]"
2013-08-05,2013-08-11,2232.0,9159,5860.0,"[11, 2, 0, 4, 14, 18, 0]","[0, 6, 9, 5, 0, 0, 12]","[0.12509868338752342, 0.0, 0.3, 0.0, 0.0, 0.0, 0.1719114634254939]","[57, 53, 57, 64, 74, 96, 75]","[63.40829086303711, 57.591487884521484, 65.77704620361328, 61.42789077758789, 82.6566162109375, 105.72777557373047, 83.07430267333984]"
2013-08-06,2013-08-12,2705.0,8894,5480.0,"[9, 0, 10, 3, 13, 13, 9]","[0, 9, 0, 9, 5, 0, 0]","[0.03548251916454664, 0.0, 0.0, 0.0, 0.0, 0.03683638630391172, 0.3]","[53, 57, 64, 74, 96, 75, 55]","[53.07798767089844, 63.08617401123047, 61.46515655517578, 80.82136535644531, 107.37408447265625, 77.40802001953125, 57.246524810791016]"
2013-08-07,2013-08-13,2721.0,9464,5240.0,"[5, 0, 13, 18, 13, 9, 9]","[5, 8, 0, 0, 0, 0, 0]","[0.3, 0.3, 0.03824129663662384, 0.0, 0.0, 0.3, 0.0]","[57, 64, 74, 96, 75, 55, 64]","[64.46683502197266, 61.1137809753418, 82.63440704345703, 108.54093933105469, 82.8544692993164, 55.58958053588867, 53.91325759887695]"
2013-08-08,2013-08-14,2318.0,9171,5595.0,"[0, 4, 3, 0, 9, 0, 11]","[8, 8, 13, 11, 0, 7, 0]","[0.3, 0.039391753249005686, 0.0, 0.3, 0.0, 0.03755185985311919, 0.0]","[64, 74, 96, 75, 55, 64, 55]","[59.66298294067383, 78.12857055664062, 106.37528991699219, 77.19654846191406, 52.080509185791016, 52.21146011352539, 64.54119873046875]"
2013-08-09,2013-08-15,2492.0,9588,4940.0,"[14, 10, 7, 9, 7, 9, 11]","[0, 5, 4, 0, 0, 0, 0]","[0.298960332256061, 0.3, 0.3, 0.0, 0.17599040358081267, 0.021067827569460018, 0.03959982706560306]","[74, 96, 75, 55, 64, 55, 54]","[81.66548156738281, 108.3565902709961, 83.48543548583984, 55.719905853271484, 55.42080307006836, 63.08991622924805, 63.86469650268555]"
2013-08-10,2013-08-16,2341.0,9180,5580.0,"[9, 8, 8, 5, 4, 4, 4]","[7, 5, 1, 4, 6, 6, 6]","[0.13011665145943443, 0.12328468810098749, 0.19117788109413134, 0.1274584817543902, 0.037926784856539456, 0.13233015532117434, 0.12583409597310777]","[96, 75, 55, 64, 55, 54, 67]","[105.84904479980469, 80.52960968017578, 56.615753173828125, 54.667396545410156, 63.05403518676758, 64.50056457519531, 67.36939239501953]"
2013-08-11,2013-08-17,2234.0,7776,4470.0,"[13, 0, 9, 10, 11, 11, 16]","[0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]","[75, 55, 64, 55, 54, 67, 98]","[77.42434692382812, 54.503570556640625, 52.646541595458984, 62.34428024291992, 64.69075775146484, 67.31704711914062, 96.70497131347656]"
2013-08-12,2013-08-18,2169.0,9029,5505.0,"[8, 2, 6, 8, 6, 7, 7]","[4, 6, 4, 2, 5, 8, 3]","[0.17182745400071547, 0.13375189305249335, 0.10892165806521642, 0.16866785549689, 0.12971415534986425, 0.11683566857948742, 0.13198447019616522]","[55, 64, 55, 54, 67, 98, 64]","[54.49216079711914, 52.707759857177734, 61.65503692626953, 61.9996337890625, 67.1942138671875, 97.9236831665039, 67.13285064697266]"
2013-08-13,2013-08-19,2335.0,8688,5075.0,"[9, 5, 0, 12, 16, 11, 0]","[0, 5, 9, 0, 0, 0, 7]","[0.0, 0.0, 0.0, 0.3, 0.0, 0.3, 0.0]","[64, 55, 54, 67, 98, 64, 55]","[54.86626434326172, 62.44384765625, 66.34449768066406, 69.55098724365234, 97.61970520019531, 68.51602935791016, 51.77475357055664]"
2013-08-14,2013-08-20,2204.0,9155,5375.0,"[5, 7, 6, 13, 8, 8, 3]","[5, 3, 5, 3, 4, 1, 6]","[0.1758861412883657, 0.1627462062038938, 0.1316283695914106, 0.17170260488036368, 0.2127317357218878, 0.10916137486458902, 0.11914603906719773]","[55, 54, 67, 98, 64, 55, 48]","[62.79365158081055, 69.98873901367188, 72.03640747070312, 97.93426513671875, 66.4122314453125, 55.62519073486328, 61.903045654296875]"
2013-08-15,2013-08-21,2331.0,8833,5115.0,"[1, 8, 8, 7, 4, 7, 4]","[8, 3, 7, 4, 3, 2, 5]","[0.11354609084316765, 0.21339682515031289, 0.11312869818326535, 0.16768442075260948, 0.07416583002614885, 0.11844330714217, 0.12758435664735113]","[54, 67, 98, 64, 55, 48, 60]","[62.19115447998047, 67.59162902832031, 97.43827056884766, 68.01163482666016, 53.0517463684082, 57.917240142822266, 57.13626480102539]"
2013-08-16,2013-08-22,2057.0,7218,4290.0,"[0, 8, 12, 5, 0, 9, 0]","[9, 7, 0, 3, 8, 0, 0]","[0.021231446264205492, 0.0, 0.3, 0.0, 0.03484480406837989, 0.008126505753163218, 0.29963770478341933]","[67, 98, 64, 55, 48, 60, 57]","[65.623779296875, 97.00989532470703, 69.5034408569336, 54.60152053833008, 56.77190017700195, 57.06611251831055, 62.204933166503906]"
2013-08-17,2013-08-23,2535.0,7932,5035.0,"[11, 8, 9, 9, 0, 0, 7]","[5, 3, 0, 0, 8, 8, 3]","[0.0, 0.0, 0.0, 0.039520577332715294, 0.0, 0.0, 0.0]","[98, 64, 55, 48, 60, 57, 62]","[98.77924346923828, 68.59955596923828, 53.033321380615234, 56.65584182739258, 54.68832778930664, 61.57757568359375, 66.96110534667969]"
2013-08-18,2013-08-24,2135.0,9234,4920.0,"[12, 0, 9, 9, 0, 11, 11]","[0, 7, 0, 0, 8, 0, 4]","[0.0, 0.0, 0.3, 0.29832810046940744, 0.0, 0.3, 0.3]","[64, 55, 48, 60, 57, 62, 95]","[69.03135681152344, 52.27283477783203, 54.63167953491211, 55.89381790161133, 58.18952560424805, 66.88111877441406, 98.18939208984375]"
2013-08-19,2013-08-25,2245.0,8994,5290.0,"[9, 9, 0, 0, 4, 17, 8]","[0, 0, 8, 9, 6, 0, 4]","[0.3, 0.3, 0.3, 0.0, 0.0, 0.0, 0.0]","[55, 48, 60, 57, 62, 95, 75]","[52.7460823059082, 55.64496612548828, 56.213504791259766, 60.44254684448242, 65.55780029296875, 101.5176773071289, 77.58463287353516]"
2013-08-20,2013-08-26,2305.0,8990,5450.0,"[3, 5, 9, 9, 8, 4, 6]","[6, 5, 1, 3, 7, 7, 3]","[0.07665986324652246, 0.16337548981928898, 0.1733884989604873, 0.04075969621428255, 0.17209192795345235, 0.13420896720971073, 0.08034431043604033]","[48, 60, 57, 62, 95, 75, 52]","[58.43465042114258, 55.425315856933594, 60.86294174194336, 67.45939636230469, 98.99614715576172, 75.76441955566406, 56.95542526245117]"
2013-08-21,2013-08-27,1977.0,8962,5830.0,"[5, 3, 8, 13, 6, 5, 5]","[7, 7, 2, 4, 6, 4, 6]","[0.16446413858485287, 0.1306441340084163, 0.06261379420116192, 0.03643449027549375, 0.1173178642774714, 0.1715156269211728, 0.1602686451619379]","[60, 57, 62, 95, 75, 52, 47]","[58.31245040893555, 61.32756423950195, 64.91988372802734, 104.99559020996094, 78.37467193603516, 57.322486877441406, 50.76164245605469]"
2013-08-22,2013-08-28,1771.0,8880,5590.0,"[4, 5, 11, 4, 6, 8, 4]","[6, 5, 4, 7, 3, 1, 9]","[0.06099175078386672, 0.17598646322026373, 0.16138913781026276, 0.11640198193561935, 0.12698527228970494, 0.16105092955038924, 0.2277482678834502]","[57, 62, 95, 75, 52, 47, 47]","[61.75545883178711, 66.66387176513672, 102.24514770507812, 73.53189086914062, 58.47632598876953, 47.28240203857422, 63.3477897644043]"
2013-08-23,2013-08-29,2409.0,8094,4880.0,"[11, 12, 5, 9, 8, 10, 7]","[0, 4, 6, 0, 0, 0, 2]","[0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[62, 95, 75, 52, 47, 47, 54]","[64.76705932617188, 101.31087493896484, 72.30821228027344, 56.31035232543945, 49.06248092651367, 62.75102615356445, 56.824485778808594]"
2013-08-24,2013-08-30,2329.0,8716,5120.0,"[1, 0, 9, 8, 0, 9, 11]","[13, 11, 0, 0, 9, 0, 0]","[0.0, 0.3, 0.0, 0.038990054458786734, 0.03697392158722837, 0.3, 0.0]","[95, 75, 52, 47, 47, 54, 66]","[99.71749114990234, 75.77041625976562, 55.3734130859375, 47.69548034667969, 63.97036361694336, 57.507755279541016, 63.96806716918945]"
2013-08-25,2013-08-31,1988.0,8869,5525.0,"[6, 10, 9, 8, 5, 8, 9]","[6, 0, 2, 3, 4, 2, 7]","[0.1325281529793933, 0.12211221358172611, 0.08432859463215267, 0.15336302981487204, 0.17661407891718267, 0.16365575335607913, 0.1067381924404725]","[75, 52, 47, 47, 54, 66, 106]","[76.20057678222656, 58.19324493408203, 48.889610290527344, 65.10162353515625, 59.920223236083984, 62.22382354736328, 108.54795837402344]"
2013-08-26,2013-09-01,2322.0,7768,4410.0,"[10, 8, 0, 9, 9, 18, 13]","[0, 0, 0, 0, 1, 0, 0]","[4.652737843815407e-05, 0.3, 0.3, 0.0, 0.2543903537701248, 0.0, 0.03818857759245328]","[52, 47, 47, 54, 66, 106, 85]","[58.46468734741211, 47.457427978515625, 60.517215728759766, 56.5196647644043, 63.32242965698242, 107.57860565185547, 78.42572784423828]"
2013-08-27,2013-09-02,2434.0,8334,5145.0,"[4, 11, 6, 0, 11, 12, 6]","[3, 0, 3, 9, 6, 0, 3]","[0.002646079724557017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3]","[47, 47, 54, 66, 106, 85, 95]","[48.61054611206055, 63.757076263427734, 56.28519821166992, 63.257972717285156, 106.55461883544922, 73.11235046386719, 58.00127410888672]"
2013-08-28,2013-09-03,1947.0,8749,5770.0,"[0, 0, 0, 20, 13, 0, 0]","[9, 8, 9, 0, 0, 8, 10]","[0.2782578463293863, 0.03138554215283688, 0.019281028039678693, 0.03899287520969196, 0.03824788465740019, 0.3, 0.03994652431567575]","[47, 54, 66, 106, 85, 95, 38]","[62.94175338745117, 59.48466873168945, 64.88011932373047, 107.62263488769531, 80.10894012451172, 56.04705810546875, 69.46419525146484]"
2013-08-29,2013-09-04,1933.0,8280,5305.0,"[9, 6, 7, 8, 7, 8, 1]","[0, 4, 10, 4, 2, 3, 6]","[0.0, 0.0, 0.0, 0.007226071469641902, 0.2828393930706848, 0.3, 0.11114598514025126]","[54, 66, 106, 85, 95, 38, 34]","[51.84206008911133, 62.90082931518555, 110.44393920898438, 77.44200134277344, 55.620574951171875, 69.09878540039062, 47.269493103027344]"
2013-08-30,2013-09-05,1502.0,6446,4500.0,"[0, 18, 0, 0, 1, 8, 8]","[9, 0, 11, 0, 8, 0, 0]","[0.0, 0.0, 0.0, 0.13654453017150192, 0.0393331584979494, 0.0, 0.0]","[66, 106, 85, 95, 38, 34, 38]","[61.58335494995117, 107.16730499267578, 76.60577392578125, 50.98598098754883, 61.63496398925781, 47.57978820800781, 49.08791732788086]"
2013-08-31,2013-09-06,1545.0,7408,5160.0,"[20, 13, 9, 3, 0, 4, 0]","[0, 0, 0, 6, 7, 4, 8]","[0.0, 0.0, 0.0, 0.0, 0.08483826700083341, 0.3, 0.0004883981231232405]","[106, 85, 95, 38, 34, 38, 49]","[108.33226013183594, 77.23341369628906, 56.283973693847656, 58.112998962402344, 50.40153503417969, 52.84279251098633, 58.770599365234375]"
2013-09-01,2013-09-07,915.0,6538,4520.0,"[13, 0, 5, 8, 0, 10, 0]","[0, 2, 5, 0, 7, 0, 12]","[0.03903786903271576, 0.3, 0.0, 0.03837536669239769, 0.0, 0.0, 0.3]","[85, 95, 38, 34, 38, 49, 76]","[75.06550598144531, 57.3538818359375, 62.97115707397461, 50.11528396606445, 48.80351257324219, 59.41699981689453, 88.63436126708984]"
2013-09-02,2013-09-08,792.0,6708,4880.0,"[9, 0, 8, 0, 9, 15, 13]","[0, 9, 0, 7, 1, 0, 0]","[0.0, 0.0, 0.3, 0.0, 0.3, 0.0, 0.0]","[95, 38, 34, 38, 49, 76, 56]","[53.337337493896484, 65.57283782958984, 48.580562591552734, 52.037681579589844, 59.496036529541016, 88.56144714355469, 76.09056854248047]"
2013-09-03,2013-09-09,573.0,6636,4825.0,"[13, 9, 9, 9, 10, 12, 0]","[0, 0, 0, 0, 4, 0, 7]","[0.0, 0.3, 0.0, 0.0, 0.3, 0.0, 0.0]","[38, 34, 38, 49, 76, 56, 41]","[78.7917251586914, 53.85039520263672, 51.29446029663086, 57.173683166503906, 88.41997528076172, 74.42747497558594, 52.19306182861328]"
2013-09-04,2013-09-10,813.0,6890,4520.0,"[0, 0, 10, 12, 0, 9, 7]","[6, 7, 0, 2, 11, 0, 0]","[0.3, 0.3, 0.3, 0.0, 0.034981600174231575, 0.0, 0.3]","[34, 38, 49, 76, 56, 41, 34]","[45.35991668701172, 53.25038146972656, 57.35987091064453, 90.0401840209961, 75.15013122558594, 54.5806999206543, 42.38601303100586]"
