start_date,end_date,lucro_otimo,unidades,hr_cost,J,X,PR,clientes_reais,clientes_previstos
2013-07-25,2013-07-31,5345.0,21652,13930.0,"[20, 8, 20, 20, 8, 20, 20]","[7, 20, 20, 16, 12, 6, 0]","[0.3, 0.0, 0.3, 0.029780885512095703, 0.0, 0.020206716424001653, 0.019190663925983124]","[144, 184, 250, 144, 144, 137, 158]","[171.4826202392578, 191.57876586914062, 272.5337219238281, 230.26210021972656, 132.76783752441406, 167.36883544921875, 166.82855224609375]"
2013-07-26,2013-08-01,6674.0,19920,13660.0,"[20, 20, 20, 20, 20, 5, 20]","[9, 20, 14, 0, 0, 19, 7]","[0.035257447842170116, 2.479852259518722e-05, 0.0, 0.03227267170057213, 0.0, 0.0, 0.03149806783793656]","[184, 250, 144, 144, 137, 158, 186]","[181.9868621826172, 259.71875, 222.61622619628906, 132.060302734375, 156.41200256347656, 163.19744873046875, 174.0726318359375]"
2013-07-27,2013-08-02,6889.0,20262,13795.0,"[20, 20, 0, 20, 6, 20, 20]","[20, 0, 19, 5, 19, 8, 13]","[0.028782676265251887, 0.0, 0.027391623746521283, 0.018837870181023363, 0.03135388363219794, 0.0, 0.0]","[250, 144, 144, 137, 158, 186, 178]","[270.03631591796875, 216.70468139648438, 125.4662094116211, 156.83172607421875, 174.51504516601562, 178.64210510253906, 211.39874267578125]"
2013-07-28,2013-08-03,6250.0,19943,12720.0,"[12, 8, 10, 13, 14, 17, 14]","[16, 9, 14, 13, 11, 9, 13]","[0.08819907482918515, 0.16635612738474487, 0.026509252455842753, 0.13168085938044832, 0.0873571466097959, 0.08816563028150674, 0.08904702918096367]","[144, 144, 137, 158, 186, 178, 234]","[205.82135009765625, 126.67327117919922, 160.82177734375, 176.91278076171875, 166.37454223632812, 192.4341278076172, 288.30029296875]"
2013-07-29,2013-08-04,6193.0,17124,11065.0,"[20, 10, 6, 10, 19, 2, 18]","[0, 14, 20, 14, 11, 0, 11]","[0.019426800457888495, 0.02825272177543036, 0.018518652070183543, 0.02886029827258541, 0.018014810086009567, 0.3, 0.020171514847214595]","[144, 137, 158, 186, 178, 234, 209]","[123.94513702392578, 158.87588500976562, 178.3219757080078, 162.82882690429688, 191.3262176513672, 288.88116455078125, 183.48895263671875]"
2013-07-30,2013-08-05,6539.0,19343,13190.0,"[3, 20, 6, 20, 20, 20, 0]","[20, 0, 20, 0, 20, 10, 20]","[0.02489656265052454, 0.0, 0.0, 0.0, 0.03172281838038365, 0.0, 0.0]","[137, 158, 186, 178, 234, 209, 139]","[160.9307098388672, 171.66598510742188, 178.6936798095703, 204.90213012695312, 299.7086486816406, 190.30308532714844, 175.08258056640625]"
2013-07-31,2013-08-06,7455.0,20739,13735.0,"[14, 17, 10, 20, 20, 20, 20]","[11, 10, 20, 20, 9, 1, 4]","[0.006874395339513334, 0.021129403152480852, 0.0, 0.03419848949215295, 0.0, 0.031000004568736864, 0.02121458836739568]","[158, 186, 178, 234, 209, 139, 129]","[162.56092834472656, 174.1163330078125, 202.29803466796875, 292.8717041015625, 185.23338317871094, 170.0478515625, 157.43959045410156]"
2013-08-01,2013-08-07,6918.0,20792,13290.0,"[0, 8, 20, 20, 0, 20, 20]","[20, 20, 20, 8, 20, 0, 6]","[0.3, 0.017119371277298352, 0.016180171587131812, 0.0, 0.03654747521881353, 0.028567738388416874, 0.018345383900384205]","[186, 178, 234, 209, 139, 129, 139]","[157.9543914794922, 190.2533416748047, 278.3017578125, 177.4559326171875, 159.9475860595703, 150.74917602539062, 161.30479431152344]"
2013-08-02,2013-08-08,5857.0,19673,13735.0,"[20, 20, 20, 5, 20, 20, 20]","[11, 20, 10, 20, 6, 5, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21990949991466624]","[178, 234, 209, 139, 129, 139, 156]","[198.02825927734375, 290.3848571777344, 189.18585205078125, 172.01597595214844, 161.6647491455078, 160.466796875, 177.6901092529297]"
2013-08-03,2013-08-09,5544.0,20042,14925.0,"[20, 17, 4, 12, 0, 17, 15]","[20, 11, 20, 11, 20, 11, 20]","[0.02379415258182868, 0.0, 0.03417084169438313, 0.0, 0.0, 0.0, 0.0]","[234, 209, 139, 129, 139, 156, 181]","[291.9218444824219, 181.3562774658203, 165.01910400390625, 152.32830810546875, 159.01780700683594, 182.33154296875, 231.23341369628906]"
2013-08-04,2013-08-10,6037.0,21213,14275.0,"[20, 6, 6, 12, 13, 19, 17]","[7, 17, 16, 11, 14, 13, 20]","[0.016263294385289187, 0.028646935257117697, 0.3, 0.15202294767066693, 0.0, 0.029499261977025966, 0.0]","[209, 139, 129, 139, 156, 181, 236]","[172.11904907226562, 160.41539001464844, 149.49026489257812, 153.5297393798828, 179.4573974609375, 204.8411407470703, 241.46229553222656]"
