Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2013-10-22,21,110,7.58,No,57740,110.0,2,0,10,4,295,0,0,0,0,0,0,105.0,138.0,138.0,170.85714285714286,59.176089122292765,250.889
2013-10-23,26,142,8.74,No,57243,142.0,3,0,10,4,296,0,0,0,0,0,0,110.0,147.0,147.0,166.85714285714286,62.61370609120818,247.889
2013-10-24,34,147,9.39,No,78497,147.0,4,0,10,4,297,0,0,0,0,0,0,142.0,133.0,178.0,166.14285714285714,62.90582530372578,248.52233333333334
2013-10-25,53,238,15.01,No,79006,238.0,5,0,10,4,298,0,0,0,0,0,0,147.0,183.0,233.0,168.14285714285714,61.89084092558608,249.15566666666666
2013-10-26,30,303,10.01,No,78151,303.0,6,1,10,4,299,0,0,0,0,0,0,238.0,280.0,1225.67,176.0,67.34240862933265,252.689
2013-10-27,22,216,10.34,No,52426,216.0,7,1,10,4,300,0,0,0,0,0,0,303.0,210.0,1020.0,179.28571428571428,73.53845770686777,257.9223333333333
2013-10-28,29,151,10.91,No,63916,151.0,1,0,10,4,301,0,0,0,0,0,0,216.0,105.0,595.0,180.14285714285714,73.98970327333534,258.7556666666667
2013-10-29,18,151,7.62,No,62387,151.0,2,0,10,4,302,0,0,0,0,0,0,151.0,110.0,138.0,186.71428571428572,68.00420155087076,253.889
2013-10-30,21,133,7.07,No,56379,133.0,3,0,10,4,303,0,0,0,0,0,0,151.0,142.0,147.0,192.57142857142858,61.776093388023035,252.689
2013-10-31,47,101,7.17,No,82999,101.0,4,0,10,4,304,0,0,0,0,0,0,133.0,147.0,133.0,191.28571428571428,63.083844433986876,253.75566666666666
2013-11-01,37,174,10.89,No,87379,174.0,5,0,11,4,305,0,0,0,0,0,0,101.0,238.0,183.0,184.71428571428572,70.43369053162544,253.75566666666666
2013-11-02,46,275,12.85,No,78139,275.0,6,1,11,4,306,0,0,0,0,0,0,174.0,303.0,280.0,175.57142857142858,66.40245262251786,255.45566666666667
2013-11-03,48,244,14.7,No,90593,244.0,7,1,11,4,307,0,0,0,0,0,0,275.0,216.0,210.0,171.57142857142858,57.72306628162084,259.4223333333333
2013-11-04,17,115,8.14,No,84201,115.0,1,0,11,4,308,0,0,0,0,0,0,244.0,151.0,105.0,175.57142857142858,62.1177836663468,260.5556666666667
2013-11-05,32,138,9.07,No,83857,138.0,2,0,11,4,309,0,0,0,0,0,0,115.0,151.0,110.0,170.42857142857142,65.86819450705369,252.82233333333335
2013-11-06,30,133,10.73,No,75936,133.0,3,0,11,4,310,0,0,0,0,0,0,138.0,133.0,142.0,168.57142857142858,66.68547353773826,249.95566666666667
2013-11-07,34,133,12.92,No,79354,133.0,4,0,11,4,311,0,0,0,0,0,0,133.0,101.0,147.0,168.57142857142858,66.68547353773826,250.12233333333333
2013-11-08,28,235,7.88,No,90779,235.0,5,0,11,4,312,0,0,0,0,0,1,133.0,174.0,238.0,173.14285714285714,62.229222962175925,249.95566666666667
2013-11-09,117,1357,9.76,Yes,141677,1225.67,6,1,11,4,313,0,0,0,0,1,1,235.0,275.0,303.0,181.85714285714286,66.4941816287426,252.889
2013-11-10,131,1040,14.74,Yes,154417,1040.0,7,1,11,4,314,0,0,0,0,1,1,1225.67,244.0,216.0,317.6671428571429,403.79203668531693,287.8113333333333
2013-11-11,74,939,13.76,Yes,120768,939.0,1,0,11,4,315,0,0,0,0,1,1,1040.0,115.0,151.0,431.38142857142856,483.75430928067124,314.71133333333336
2013-11-12,27,148,12.75,No,85609,148.0,2,0,11,4,316,0,0,0,0,0,1,939.0,138.0,151.0,549.0957142857143,494.0803282819894,305.15566666666666
2013-11-13,27,139,8.37,No,83114,139.0,3,0,11,4,317,0,0,0,0,0,0,148.0,133.0,133.0,550.5242857142857,492.7061370248042,276.089
2013-11-14,34,161,14.34,No,83091,161.0,4,0,11,4,318,0,0,0,0,0,0,139.0,133.0,101.0,551.3814285714286,491.863224634267,260.889
2013-11-15,38,207,13.36,No,91105,207.0,5,0,11,4,319,0,0,0,0,0,0,161.0,235.0,174.0,555.3814285714286,487.9923548727849,261.65566666666666
2013-11-16,31,382,9.67,No,119514,382.0,6,1,11,4,320,0,0,0,0,0,0,207.0,1225.67,275.0,551.3814285714286,491.16063063009506,263.65566666666666
2013-11-17,35,286,11.35,No,103826,286.0,7,1,11,4,321,0,0,0,0,0,0,382.0,1040.0,244.0,430.85714285714283,391.53008763543284,271.9556666666667
2013-11-18,15,161,9.49,No,101386,161.0,1,0,11,4,322,0,0,0,0,0,0,286.0,939.0,115.0,323.14285714285717,285.33222073659374,275.389
2013-11-19,28,139,16.88,No,97977,139.0,2,0,11,4,323,0,0,0,0,0,0,161.0,148.0,138.0,212.0,90.39542761297878,271.4223333333333
