Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2013-09-05,14,64,10.97,No,30426,64.0,4,0,9,3,248,0,0,0,0,0,0,57.0,90.0,95.0,114.0,46.49014232429618,109.06666666666666
2013-09-06,14,82,8.02,No,31962,82.0,5,0,9,3,249,0,0,0,0,0,0,64.0,111.0,104.0,110.28571428571429,49.65787713852397,108.23333333333333
2013-09-07,16,127,11.89,No,38886,127.0,6,1,9,3,250,0,0,0,0,0,0,82.0,177.0,159.0,106.14285714285714,50.785262204135904,107.76666666666667
2013-09-08,15,94,12.3,No,30928,94.0,7,1,9,3,251,0,0,0,0,0,0,127.0,141.0,126.0,99.0,41.89669835838269,108.4
2013-09-09,8,68,9.87,No,30442,68.0,1,0,9,3,252,0,0,0,0,0,0,94.0,158.0,88.0,92.28571428571429,37.588625432499285,107.4
2013-09-10,11,57,11.59,No,33932,57.0,2,0,9,3,253,0,0,0,0,0,1,68.0,64.0,78.0,79.42857142857143,24.466692617086814,104.26666666666667
2013-09-11,22,261,8.1,Yes,44728,261.0,3,0,9,3,254,0,0,0,0,1,1,57.0,57.0,78.0,78.42857142857143,25.330200307518492,101.96666666666667
2013-09-12,35,286,10.6,Yes,54070,286.0,4,0,9,3,255,0,0,0,0,1,1,261.0,64.0,90.0,107.57142857142857,71.62135887861265,107.56666666666666
2013-09-13,49,380,9.31,Yes,61580,380.0,5,0,9,3,256,0,0,0,0,1,1,286.0,82.0,111.0,139.28571428571428,94.5827931597749,113.5
2013-09-14,16,129,11.63,No,34252,129.0,6,1,9,3,257,0,0,0,0,0,1,380.0,127.0,177.0,181.85714285714286,126.26087883350705,123.06666666666666
2013-09-15,12,106,7.86,No,32282,106.0,7,1,9,3,258,0,0,0,0,0,0,129.0,94.0,141.0,182.14285714285714,126.11823628567579,124.36666666666666
2013-09-16,9,84,8.75,No,31232,84.0,1,0,9,3,259,0,0,0,0,0,0,106.0,68.0,158.0,183.85714285714286,124.79507011019926,124.16666666666667
2013-09-17,14,70,15.15,No,31270,70.0,2,0,9,3,260,0,0,0,0,0,0,84.0,57.0,64.0,186.14285714285714,122.44376746276725,121.5
2013-09-18,13,65,7.75,No,27089,65.0,3,0,9,3,261,0,0,0,0,0,0,70.0,261.0,57.0,188.0,120.23726543796657,120.26666666666667
